
3,0
   
1,0
   
1,0
   
1,0
   
2,0
   
1,0
   
-2,0
-4,0
-13,40390
-5,0
-13,40390
-11,40330
-8,0
-17,40510
-11,40330
-8,0
-10,0
-13,40390
-6,0
-7,0
-4,0
-6,0
-11,40330
-15,40450
-8,0
-6,0
-4,0
-8,0
0,0
   
-9,0
-11,40330
-6,0
-8,0
-3,0
-6,0
-18,40540
-18,40540
-6,0
-11,40330
-5,0
-11,40330
-1,0
-12,40360
-2,0
-13,40390
-9,0
-9,0
-7,0
-34,41020
-5,0
-5,0
2,0
   
-2,0
3,0
   
0,0
   
-2,0
-3,0
2,0
   
0,0
   
0,0
   
0,0
   
0,0
   
3,0
   
-2,0
2,0
   
-1,0
2,0
   
-1,0
-11,40330
-29,40870
-26,40780
-50,41500
-20,40600
-39,41170
-8,0
-53,41590
-18,40540
-13,40390
-34,41020
-15,40450
-7,0
-57,41710
-26,40780
-19,40570
-19,40570
-9,0
-35,41050
-21,40630
-8,0
-1,0
3,0
   
3,0
   
3,0
   
-2,0
2,0
   
-3,0
-2,0
-1,0
0,0
   
2,0
   
0,0
   
-1,0
1,0
   
-1,0
-36,41080
-35,41050
-40,41200
-31,40930
-67,42010
-35,41050
-32,40960
-36,41080
-32,40960
-20,40600
-19,40570
-13,40390
-64,41920
-10,0
-3,0
2,0
   
0,0
   
-3,0
-1,0
1,0
   
-3,0
